# filename x y z qw qx qy qz
# allways 3 lines
# header
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000000.color.png 0.584869 -0.077609 -0.317749 -0.450129 0.859473 -0.201016 0.135217
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000001.color.png 0.584304 -0.077901 -0.318466 -0.447741 0.861094 -0.200222 0.134003
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000002.color.png 0.583456 -0.077442 -0.318259 -0.447588 0.861118 -0.201186 0.132907
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000003.color.png 0.582831 -0.076161 -0.317728 -0.446222 0.861759 -0.201801 0.132416
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000004.color.png 0.581411 -0.075564 -0.317218 -0.445118 0.862393 -0.202048 0.131626
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000005.color.png 0.580771 -0.074800 -0.318543 -0.442630 0.863116 -0.204209 0.131938
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000006.color.png 0.579969 -0.073689 -0.318295 -0.442967 0.863049 -0.204387 0.130972
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000007.color.png 0.579764 -0.073073 -0.318334 -0.441505 0.863145 -0.206543 0.131885
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000008.color.png 0.579479 -0.072589 -0.319047 -0.441659 0.862965 -0.207101 0.131678
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000009.color.png 0.577242 -0.070504 -0.318214 -0.441652 0.863544 -0.205790 0.129946
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000010.color.png 0.576183 -0.069763 -0.319492 -0.440873 0.864097 -0.205245 0.129777
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000011.color.png 0.576438 -0.068609 -0.319808 -0.441811 0.863732 -0.204832 0.129668
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000012.color.png 0.577081 -0.068199 -0.320270 -0.441997 0.863613 -0.205073 0.129446
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000013.color.png 0.574667 -0.067675 -0.323040 -0.442854 0.863893 -0.203934 0.126416
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000014.color.png 0.575819 -0.066697 -0.322687 -0.444471 0.863890 -0.202080 0.123705
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000015.color.png 0.573504 -0.065156 -0.323735 -0.444352 0.865258 -0.198741 0.119924
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000016.color.png 0.575092 -0.066841 -0.325503 -0.445793 0.865293 -0.196467 0.118061
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000017.color.png 0.575442 -0.065312 -0.324519 -0.448213 0.865595 -0.191711 0.114448
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000018.color.png 0.575748 -0.064705 -0.328118 -0.447769 0.868358 -0.184226 0.107323
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000019.color.png 0.576288 -0.063808 -0.328885 -0.450536 0.868941 -0.177736 0.101828
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000020.color.png 0.574171 -0.060104 -0.326937 -0.453575 0.872103 -0.159922 0.090178
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000021.color.png 0.572635 -0.058806 -0.329348 -0.452414 0.874764 -0.150867 0.085722
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000022.color.png 0.571132 -0.056700 -0.331994 -0.453295 0.878289 -0.131434 0.076531
/media/mzins/DATA1/7-Scenes/chess/seq-02/frame-000023.color.png 0.570739 -0.055604 -0.333093 -0.454053 0.879698 -0.122021 0.071256
