# head 1
# head 2
# filename x y z qw qx qy qz
/home/mzins/dev/Scene-Generator/dataset/train/rendering_000.png -2.787237 0.399867 2.319085 0.262987 -0.572049 0.705893 -0.324519
/home/mzins/dev/Scene-Generator/dataset/train/rendering_001.png -2.769004 0.739991 2.323455 0.246027 -0.526648 0.737226 -0.344400
/home/mzins/dev/Scene-Generator/dataset/train/rendering_002.png -2.716478 1.074690 2.335402 0.228136 -0.481332 0.764776 -0.362480
/home/mzins/dev/Scene-Generator/dataset/train/rendering_003.png -2.632915 1.401761 2.353174 0.209651 -0.436336 0.788701 -0.378956
/home/mzins/dev/Scene-Generator/dataset/train/rendering_004.png -2.521572 1.719003 2.375025 0.190882 -0.391988 0.809116 -0.394006
/home/mzins/dev/Scene-Generator/dataset/train/rendering_005.png -2.385708 2.024212 2.399208 0.172101 -0.348667 0.826150 -0.407784
/home/mzins/dev/Scene-Generator/dataset/train/rendering_006.png -2.228578 2.315186 2.423972 0.153539 -0.306764 0.839981 -0.420420
/home/mzins/dev/Scene-Generator/dataset/train/rendering_007.png -2.053442 2.589721 2.447572 0.135384 -0.266630 0.850844 -0.432024
/home/mzins/dev/Scene-Generator/dataset/train/rendering_008.png -1.863555 2.845617 2.468258 0.117782 -0.228552 0.859021 -0.442690
/home/mzins/dev/Scene-Generator/dataset/train/rendering_009.png -1.662174 3.080669 2.484282 0.100841 -0.192727 0.864828 -0.452505
/home/mzins/dev/Scene-Generator/dataset/train/rendering_010.png -1.452559 3.292677 2.493898 0.084633 -0.159269 0.868586 -0.461551
/home/mzins/dev/Scene-Generator/dataset/train/rendering_011.png -1.237965 3.479436 2.495353 0.069202 -0.128211 0.870607 -0.469912
/home/mzins/dev/Scene-Generator/dataset/train/rendering_012.png -1.021649 3.638744 2.486904 0.054568 -0.099521 0.871175 -0.477673
/home/mzins/dev/Scene-Generator/dataset/train/rendering_013.png -0.806870 3.768400 2.466802 0.040732 -0.073123 0.870542 -0.484923
/home/mzins/dev/Scene-Generator/dataset/train/rendering_014.png -0.596884 3.866199 2.433295 0.027679 -0.048907 0.868915 -0.491761
/home/mzins/dev/Scene-Generator/dataset/train/rendering_015.png -0.394948 3.929938 2.384639 0.015382 -0.026748 0.866461 -0.498290
/home/mzins/dev/Scene-Generator/dataset/train/rendering_016.png -0.204321 3.957421 2.319085 0.003808 -0.006514 0.863305 -0.504626
/home/mzins/dev/Scene-Generator/dataset/train/rendering_017.png 0.111112 3.945558 2.203398 -0.015823 0.026425 0.857544 -0.513488
/home/mzins/dev/Scene-Generator/dataset/train/rendering_018.png 0.427587 3.883714 2.109813 -0.036369 0.059724 0.852010 -0.518834
/home/mzins/dev/Scene-Generator/dataset/train/rendering_019.png 0.741282 3.776580 2.036895 -0.057728 0.093810 0.846481 -0.520901
/home/mzins/dev/Scene-Generator/dataset/train/rendering_020.png 1.048378 3.628860 1.983220 -0.079750 0.128961 0.840674 -0.519880
/home/mzins/dev/Scene-Generator/dataset/train/rendering_021.png 1.345049 3.445247 1.947353 -0.102230 0.165306 0.834282 -0.515943
/home/mzins/dev/Scene-Generator/dataset/train/rendering_022.png 1.627480 3.230439 1.927865 -0.124900 0.202824 0.826990 -0.509264
/home/mzins/dev/Scene-Generator/dataset/train/rendering_023.png 1.891844 2.989129 1.923324 -0.147434 0.241336 0.818522 -0.500042
/home/mzins/dev/Scene-Generator/dataset/train/rendering_024.png 2.134323 2.726020 1.932301 -0.169464 0.280526 0.808669 -0.488510
/home/mzins/dev/Scene-Generator/dataset/train/rendering_025.png 2.351096 2.445803 1.953365 -0.190593 0.319975 0.797328 -0.474929
/home/mzins/dev/Scene-Generator/dataset/train/rendering_026.png 2.538340 2.153179 1.985086 -0.210426 0.359208 0.784525 -0.459577
/home/mzins/dev/Scene-Generator/dataset/train/rendering_027.png 2.692237 1.852843 2.026032 -0.228579 0.397768 0.770410 -0.442719
/home/mzins/dev/Scene-Generator/dataset/train/rendering_028.png 2.808961 1.549491 2.074774 -0.244700 0.435275 0.755243 -0.424578
/home/mzins/dev/Scene-Generator/dataset/train/rendering_029.png 2.884694 1.247821 2.129881 -0.258461 0.471481 0.739346 -0.405302
/home/mzins/dev/Scene-Generator/dataset/train/rendering_030.png 2.915615 0.952530 2.189923 -0.269546 0.506306 0.723062 -0.384942
/home/mzins/dev/Scene-Generator/dataset/train/rendering_031.png 2.897902 0.668314 2.253467 -0.277618 0.539850 0.706695 -0.363418
/home/mzins/dev/Scene-Generator/dataset/train/rendering_032.png 2.827732 0.399867 2.319085 -0.282276 0.572400 0.690463 -0.340498
/home/mzins/dev/Scene-Generator/dataset/train/rendering_033.png 2.686327 0.035532 2.405428 -0.286650 0.619105 0.663459 -0.307186
/home/mzins/dev/Scene-Generator/dataset/train/rendering_034.png 2.539713 -0.319515 2.476749 -0.292097 0.666562 0.628171 -0.275274
/home/mzins/dev/Scene-Generator/dataset/train/rendering_035.png 2.387634 -0.663208 2.533800 -0.298978 0.712808 0.585062 -0.245396
/home/mzins/dev/Scene-Generator/dataset/train/rendering_036.png 2.229832 -0.993479 2.577333 -0.307543 0.755721 0.535542 -0.217941
/home/mzins/dev/Scene-Generator/dataset/train/rendering_037.png 2.066046 -1.308263 2.608098 -0.317839 0.793474 0.481800 -0.192993
/home/mzins/dev/Scene-Generator/dataset/train/rendering_038.png 1.896020 -1.605492 2.626851 -0.329667 0.824937 0.426345 -0.170379
/home/mzins/dev/Scene-Generator/dataset/train/rendering_039.png 1.719494 -1.883101 2.634341 -0.342626 0.849827 0.371449 -0.149758
/home/mzins/dev/Scene-Generator/dataset/train/rendering_040.png 1.536210 -2.139023 2.631322 -0.356209 0.868572 0.318760 -0.130726
/home/mzins/dev/Scene-Generator/dataset/train/rendering_041.png 1.345912 -2.371191 2.618545 -0.369899 0.882025 0.269188 -0.112891
/home/mzins/dev/Scene-Generator/dataset/train/rendering_042.png 1.148339 -2.577541 2.596765 -0.383239 0.891181 0.222999 -0.095897
/home/mzins/dev/Scene-Generator/dataset/train/rendering_043.png 0.943233 -2.756001 2.566729 -0.395860 0.896988 0.179991 -0.079434
/home/mzins/dev/Scene-Generator/dataset/train/rendering_044.png 0.730337 -2.904510 2.529193 -0.407484 0.900251 0.139672 -0.063220
/home/mzins/dev/Scene-Generator/dataset/train/rendering_045.png 0.509392 -3.020999 2.484909 -0.417903 0.901594 0.101378 -0.046990
